order777,51,2137547844,item125797036
order807,91,186078018,item6383743
order633,23,1872639995,item6068226115
order717,70,79525418,item151320102260
order899,82,1469118832,item1574410020
order639,59,140043426,item6383740
order624,71,144419994,item1454016752
order115,99,1372387694,item162423904
order838,59,1644024471,item168836252
order922,46,744439019,item102060639
order710,0,1206168138,item135801352
order717,70,729819629,item628082193
order314,19,1409361259,item106841701
order858,50,2077209971,item24901386
order263,73,1663291307,item93076976
order966,62,1893676236,item1453561364
order249,87,139953196,item1671578925
order753,59,120563588,item1189714990
order402,97,1826225779,item17684186
order831,89,1256430033,item6220762632
order833,51,2131458595,item23247844
order921,27,168428072,item1611609153
order346,32,1705426280,item1851300542
order753,3,1259231089,item1668923855
order532,31,94830033,item54452233
order275,3,1813478772,item1177732224
order937,59,1754610484,item2076641815
order857,48,1327517518,item1623615789
order115,42,1662089855,item1623168493
order720,30,2075715657,item125797588
order263,73,1446422589,item1110147653
order742,45,144642378,item103283449
order263,61,1683049317,item142705993
order249,91,1680916649,item1224112338
order552,94,1172128479,item797976007
order599,53,320128359,item220128473
order425,28,1715113996,item1520004480
order899,27,1439002422,item180002036
order906,71,1782798769,item1105607027
order631,24,213752906,item1811502893
order873,39,1010329649,item9902979
order906,49,1688343621,item181150550
order543,53,101022130,item23160744677
order777,6,406614864,item123439389171
order632,24,1444510418,item1645083645
order753,94,1915710578,item105737859
order697,14,1296124041,item12593889
order832,37,132423166,item1902161726
order872,0,744447589,item6077676032
order738,59,1644024471,item630756707
order741,27,166358844,item288634807
order839,5,1779076822,item168091902
order917,89,1664919911,item482820785
order542,34,1444510433,item151645027
order346,34,185057657,item1675384178
order710,52,1399554619,item1276115032
order867,99,700930660,item13793743
order634,24,1444510418,item1770929807
order914,90,1969850993,item946268517
order858,57,1120645606,item9298831
order856,54,1644269960,item16996059
order902,39,1429470692,item632910171
order346,34,1848973078,item1033068730
order508,98,1719263404,item166043908
order595,59,575761073,item1420431675
order314,4,1468235609,item1989653181
order913,1,2137544755,item1809205946
order957,49,1719289993,item134236
order297,56,1660223705,item1096390596
order753,42,1024799431,item102472979
order420,5,1055812254,item1059586436
order792,46,1244422214,item1715200044
order425,58,1244422275,item4849715
order828,86,2026900104,item1271746725
order532,57,825650280,item256506036
order744,48,10691566182316993687,item16095032
order776,5,1490303175,item1268374630
order839,58,1577209971,item60266715
order709,30,10826551721,item16093622
order532,75,1444510418,item82565038
order907,24,1171869537,item1680969105
order931,44,17442265352,item1607734016
order878,44,1688298949,item98862060
order938,4,182323314,item117091776
order297,18,467959492,item1238744883
order885,83,1960870563,item868730980
order833,87,1147132071,item21279733406
order878,47,1244422156,item2068165003
order834,66,723797920,item14513395
order766,44,178258813,item168944677
order819,70,280832148,item1499882786
order776,91,152567056,item256196067
order776,6,21375773,item17931244291
order819,70,20247994,item156915777
order918,67,1372387694,item712100167
order7,49,744439122,item70260008
order899,73,1334555044,item14261105
order278,59,575761073,item675117964
order856,79,1975598052,item1234107115
order425,86,59805554,item1517581248
order869,86,1237463467,item1707506024
order716,70,202660057,item578125846
order508,59,1444200545,item1041642013
order299,95,717177949,item1686343670
order881,0,104024394,item1140610151
order957,54,1848422126,item115066352
order774,62,1555725998,item1106967563
order402,63,144969095,item2135808381
order879,82,744269936,item1685909494
order902,45,1018816387,item465703688
order552,82,1898909989,item16753108
order278,73,1376423332,item1034060873
order741,47,330797867,item1020688650
order878,64,731280008,item63439607
order299,27,313618117,item1543340601
order807,82,2024614006,item1065421301
order638,36,172734734,item270143194
order743,60,1120872573,item13944514
order566,67,1878156612,item2119061630
order753,63,1557231437,item2031942361
order742,38,1440242403,item1168088487
order847,66,2051311823,item1249086178
order937,4,1227465352,item1689493895
order831,4,907168138,item563557651
order890,8,1247817310,item828630230
order898,90,834847622,item1234361022
order691,11,1065592314,item1499854462
order621,79,2024799431,item1979972501
order928,58,1136701386,item2135808381
order263,64,1969734271,item135034216
order314,92,1826654869,item14058146
order716,4,1579290937,item12885596
order278,83,1475372198,item27361036
order531,68,1444510418,item1604725341
order314,92,424537903,item1437432585
order508,95,715834639,item1928159187
order906,21,8391856506067818,item167
order899,19,11459717,item1190086926
order847,24,1079433631,item321794807
order867,5,16714945012,item35450836
order697,45,1670135486,item2137274151
order902,19,142798769,item993202704
order599,63,374723615,item88118964
order98,22,1619280936,item151016650
order776,5,17801712702,item128063810
order899,78,11459717,item1330137074
order190,18,3747236172,item1633657163
order869,62,1499290167,item16833876
order271,88,1259231052,item192480139
order738,46,1566238813,item20298570
order766,31,144237864,item699354998
order297,55,1450891951,item93743275
order966,46,9131822059,item130624433
order633,48,908534803,item5440769
order275,11,1526775309,item1105607046
order445,7,173529211,item117928588
order819,35,2051311823,item159865352
order816,64,1516050320,item503930109
order637,71,7176932,item904510499
order249,98,113538110,item1801210618
order278,32,1260915328,item2039414909
order638,46,913739568,item699354998
order839,57,1328919394,item6037738351
order741,28,377761059,item11191776
order440,77,1425480373,item1810802979
order849,47,21393339003,item107231714
order738,0,1704219649,item21072358
order849,27,1372387694,item712100167
order741,71,1038846397,item2083938351
order445,30,1684650552,item1483730109
order445,8,2070058141,item1244430977
order552,55,16401386,item799407056
order425,56,1815440116,item1041642013
order918,23,1662067899,item16071635
order776,5,1607642314,item564184890
order948,42,144291308,item1689092530
order858,99,14642364751,item162482193
order741,24,8441241,item2130973078
order847,22,20791941,item879577896
order532,70,158424106,item17546650
order792,73,1626766702,item1284514901
order935,53,2027611362,item1557986053
order890,24,1679730269,item954991248
order599,43,1928393462,item1599529867
order918,92,1967655808,item1926120439
order271,38,1533458247,item146544354
order710,26,1787906774,item1432767036
order278,99,648450252,item1414172346
order885,62,1836076744,item447081675
order792,73,1941843651,item2137274151
order885,53,1044995946,item22975060
order932,69,1391806378,item2117112040
order275,36,1683018180,item699645446
order710,6,734395460,item2055857036
order899,99,1651240601,item1271746730
order275,56,1444886136,item9631889
order275,6,908534142,item1544513406
order440,73,1642013,item160
order742,4,167015440,item840066300
order917,27,1758278219,item13084601
order638,24,1027519665,item698354998
order637,48,1366239936,item26883317
order776,62,1817953306,item133379960
order440,46,1705426280,item4266301839
order271,28,2026393770,item16333909494
order777,27,1686149149,item20266414677
order595,73,1913918003,item1773390188
order984,27,1250053050,item313639505
order807,60,367571527,item103351399
order278,73,2121703976,item1916395486
order873,66,849208562,item13463366352
order847,38,151329499,item1491150781
order346,32,59589871,item285725328
order871,0,508181072,item116741831
order569,8,723796499,item60378878
order732,56,1670155678,item1267222431
order531,46,678476972,item87926338
order624,39,144452047,item162900515
order633,71,1890756951,item98449144
order634,0,1717175839,item20828924
order857,42,181924818,item2024222297
order923,49,662387694,item168592220
order697,59,1410021804,item55493840
order709,77,1444200545,item117770899
order115,12,1848972481,item17653160
order984,83,1813073421,item5543426
order402,33,1320591468,item3519031742
order440,12,118973862,item1689482455
order788,30,908606138,item514283407
order948,75,1077405363,item107536795
order958,75,2039713579,item11862063
order776,94,1920116604,item6989876906
order709,91,19403959,item144078018
order923,57,1120872573,item63887862
order440,17,1511812008,item1767541799
order914,83,1120872573,item675118899
order263,13,222272212,item885156043
order906,39,166352315,item2135808381
order874,4,744159760,item12796100
order190,27,1443340702,item325901352
order278,23,145823373,item118619430
order847,99,468094386,item28807967
order984,77,2039713579,item80238850
order872,90,1079193676,item76646791
order263,61,1733632205,item610433458
order839,59,1507116496,item1483097
order921,24,1363899607,item1685926216
order899,19,1170753641,item168949284
order190,68,1611703151,item206815789
order508,43,374790044,item62931717
order792,14,1440342468,item1957870895
order710,8,7615763449,item179325571
order885,46,879730578,item723621283
order792,32,1815506636,item1517637057
order346,61,1057158381,item355489309
order846,47,1097306436,item17709551
order872,75,2060614245,item1962622540
order913,21,2132383375,item14211728341
order899,37,2053392518,item162511869
order902,71,1642355577,item2109183715
order814,75,2039713579,item2039731013
